"activity" "subject" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"13" "SITTING" 10 -0.643787041732759 -0.656213871818966 -0.643787041732759 -0.656213871818966 -0.671367320412147 -0.63003829265431 -0.667000938325 -0.740903456258621 -0.787828063189655 -0.8035018775 -0.632859902586207 -0.725881434232759 -0.630393750482759 -0.632596015431638 -0.751876822422414 -0.779519774396552 -0.80824356112069 -0.811194220344828
"14" "SITTING" 11 -0.542825032813608 -0.612882270912658 -0.542825032813608 -0.612882270912658 -0.679819504547468 -0.664241760370253 -0.628367851066456 -0.696771378957911 -0.826829028481013 -0.866905012626582 -0.611528074359177 -0.674470159009494 -0.656133473274684 -0.676925075857595 -0.757585939588608 -0.711267219682278 -0.864827011392405 -0.879254016740506
"15" "SITTING" 14 -0.453262620331889 -0.474058613408978 -0.453262620331889 -0.474058613408978 -0.608973420309907 -0.605144269857245 -0.416459776709257 -0.471486714606811 -0.700520939854799 -0.727023009383901 -0.490874179820433 -0.548269930770588 -0.596896308848452 -0.619215144539319 -0.543030528985449 -0.516930495917399 -0.717590101802972 -0.760560087962848
"16" "SITTING" 15 -0.768194785982906 -0.79597625042735 -0.768194785982906 -0.79597625042735 -0.831122100119658 -0.82849657982906 -0.794331126068376 -0.829068243247863 -0.887257107264957 -0.901945432051282 -0.796290599726496 -0.828611387435897 -0.823607151196581 -0.835266949905983 -0.858269066666667 -0.840026069145299 -0.905389773931624 -0.904424235384615
"17" "STANDING" 1 -0.453632943768818 -0.497096402038329 -0.453632943768818 -0.497096402038329 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910663 -0.478448523354179 -0.589710231217867 -0.499075765624092 -0.541823079570029 -0.535002770337752 -0.566576670397695 -0.645970655298847 -0.685811262634006
"18" "STANDING" 2 -0.535281800541722 -0.552812545643709 -0.535281800541722 -0.552812545643709 -0.58777744543543 -0.512115278415232 -0.614771054893146 -0.680584887880795 -0.746559539039735 -0.740088733655629 -0.514569861316887 -0.646662308457285 -0.509746432970861 -0.518800797709272 -0.699742945221854 -0.725310337688742 -0.751615078360927 -0.744194981440397
"19" "STANDING" 3 -0.563140802770059 -0.591224780306452 -0.563140802770059 -0.591224780306452 -0.650182434328446 -0.607658214170381 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.579076453758064 -0.663079838985044 -0.604752108072727 -0.615643694857361 -0.716822144279179 -0.703839403007038 -0.810085498651026 -0.810032718739003
"20" "STANDING" 4 -0.682546319061304 -0.705454861278261 -0.682546319061304 -0.705454861278261 -0.75957880426087 -0.746852521913044 -0.740631826869565 -0.775247334013043 -0.869407264695652 -0.886122729173913 -0.706297967808696 -0.752967151617391 -0.740019407930435 -0.757571817956522 -0.809291430826087 -0.792319103130435 -0.883859369434783 -0.897583758347826
"21" "STANDING" 5 -0.460866415568709 -0.52162345171192 -0.460866415568709 -0.52162345171192 -0.589313870006622 -0.589031268133113 -0.602770284825828 -0.664078383532781 -0.707383517582782 -0.734187493344371 -0.528503022745033 -0.594259529756954 -0.573176177044172 -0.613485123609272 -0.677355755703311 -0.715731148145695 -0.748829309536424 -0.735610602483444
"22" "STANDING" 6 -0.464770006998123 -0.483790606354154 -0.464770006998123 -0.483790606354154 -0.551413652396923 -0.502935062310769 -0.549494852037046 -0.579837818063692 -0.621936158532308 -0.644474485460492 -0.473974924380431 -0.570910289993846 -0.494882316238462 -0.516711262173969 -0.579130051151385 -0.657368673849846 -0.651886909221538 -0.660175875210246
"23" "STANDING" 7 -0.930089571694915 -0.906345811915254 -0.930089571694915 -0.906345811915254 -0.975565607288136 -0.96981515 -0.921461890338983 -0.915581062881356 -0.980940017118644 -0.974691638135593 -0.925226557169492 -0.911234750271186 -0.969617348305085 -0.96923423559322 -0.940258003898305 -0.915738269491525 -0.976540026101695 -0.974153719491525
"24" "WALKING" 13 -0.483315619064583 -0.550491331300347 -0.483315619064583 -0.550491331300347 -0.576752933821528 -0.560426682771771 -0.530473151740972 -0.593814475246528 -0.676095972034722 -0.676537708217014 -0.540619399544792 -0.627459938888889 -0.557004493022917 -0.568399401582674 -0.610576689548611 -0.656480983322917 -0.676389681829514 -0.700494126449653
"25" "WALKING" 18 -0.697312153605769 -0.730271805927885 -0.697312153605769 -0.730271805927885 -0.785910973269231 -0.776923896471154 -0.744997704182692 -0.795796275384615 -0.879167433125 -0.908561989326923 -0.735084941985577 -0.769815429663462 -0.771023956860577 -0.785416341201923 -0.837031427067308 -0.805546287307692 -0.906618600288462 -0.917877494139423
"26" "WALKING" 21 -0.502629527346078 -0.557788646457516 -0.502629527346078 -0.557788646457516 -0.609466798721895 -0.579222087657516 -0.603274234879085 -0.693040501137908 -0.747660004901961 -0.769730420098039 -0.554437608764706 -0.629172285359804 -0.579114357752353 -0.584002856557843 -0.710833125947712 -0.735124273732026 -0.772612664607843 -0.784032331568628
"27" "WALKING" 22 -0.504099198287601 -0.595953853592586 -0.504099198287601 -0.595953853592586 -0.609772829890966 -0.589823140414673 -0.637666108456075 -0.67637856158162 -0.794681311214953 -0.82649344800623 -0.574333164853583 -0.673896212809346 -0.585442501515888 -0.599286879114019 -0.728166770031153 -0.699600086233645 -0.830191956697819 -0.835597218255452
"28" "WALKING" 23 -0.532754757205108 -0.56557562579215 -0.532754757205108 -0.56557562579215 -0.58640067170914 -0.55872531418629 -0.544207964433387 -0.541949073660753 -0.623412641977151 -0.573942888021613 -0.529029284118011 -0.657048917971505 -0.542663319457527 -0.583832309145968 -0.534657191683602 -0.632288527203763 -0.584111049810215 -0.593735302105376
"29" "WALKING" 25 -0.621457717696035 -0.692448145788546 -0.621457717696035 -0.692448145788546 -0.809780294185022 -0.806680404889868 -0.662209021674009 -0.717390558504846 -0.868947702687225 -0.890089247444934 -0.728462760898678 -0.723589795942731 -0.806214797753304 -0.808149457973568 -0.783097482334802 -0.726428409022026 -0.893089803876652 -0.893999620881057
"30" "WALKING_DOWNSTAIRS" 18 -0.606449350128205 -0.635538669641026 -0.606449350128205 -0.635538669641026 -0.711229615064103 -0.702931367692308 -0.674386287884615 -0.749089436589744 -0.834209954615385 -0.861903134551282 -0.647930089102564 -0.686022213333333 -0.70405697525641 -0.703221489807692 -0.788626892948718 -0.768752857551282 -0.855388919038461 -0.881312495897436
"31" "WALKING_DOWNSTAIRS" 20 -0.663082338813258 -0.693939335325758 -0.663082338813258 -0.693939335325758 -0.741137579134091 -0.710880025417045 -0.667928326815151 -0.697665905498788 -0.791142682693182 -0.769587409686364 -0.688100665578409 -0.7467287665375 -0.70689837068803 -0.717917947097727 -0.722623719277727 -0.734360690295455 -0.778482269505379 -0.774559479119318
"32" "WALKING_DOWNSTAIRS" 25 -0.535882405032967 -0.617316553302198 -0.535882405032967 -0.617316553302198 -0.750599028571429 -0.747738252967033 -0.580238326164286 -0.644944155163187 -0.825537529395604 -0.851182419065934 -0.65330777289011 -0.660168127291209 -0.745483417307692 -0.752862033021978 -0.718238683516484 -0.66077427132967 -0.854618793901099 -0.857403857802198
"33" "WALKING_DOWNSTAIRS" 26 -0.600932264175765 -0.620355788665816 -0.600932264175765 -0.620355788665816 -0.694917859209184 -0.677426336392347 -0.694597662936224 -0.751833690215051 -0.798325916709184 -0.818279112908163 -0.6317569828625 -0.673917799546684 -0.679278323637755 -0.678025758312755 -0.770504884821429 -0.782624320831633 -0.823865297193878 -0.823991408418367
"34" "WALKING_DOWNSTAIRS" 27 -0.627947737417819 -0.677874152031915 -0.627947737417819 -0.677874152031915 -0.70180744799867 -0.696003354282979 -0.694016019806117 -0.754713306440957 -0.823067662473404 -0.837212879564096 -0.667185803946808 -0.734883056953989 -0.688572791044947 -0.707531366315426 -0.785953610106383 -0.777810418832447 -0.837585999827128 -0.848260021656915
"35" "WALKING_DOWNSTAIRS" 28 -0.931047807777778 -0.920540450277778 -0.931047807777778 -0.920540450277778 -0.963148861111111 -0.956959094166667 -0.900563491666667 -0.882077865555556 -0.960689357777778 -0.9571008525 -0.930827828333333 -0.926847452777778 -0.955693860555556 -0.957644796944444 -0.913463743055556 -0.883359666666667 -0.960083185277778 -0.956183523055556
"36" "WALKING_UPSTAIRS" 20 -0.0895043615730667 -0.215592842966667 -0.0895043615730667 -0.215592842966667 -0.263478211031111 -0.230086201482556 -0.0737311025044444 -0.234939556948889 -0.3699055537 -0.430991660102222 -0.185335012693333 -0.359599999737778 -0.225745803462222 -0.243688139314 -0.267722689361111 -0.346752812633333 -0.440828440733333 -0.460366988414444
"37" "WALKING_UPSTAIRS" 24 -0.620032665162467 -0.650862147810236 -0.620032665162467 -0.650862147810236 -0.713667423769029 -0.689391189346457 -0.682447212750656 -0.742983126606299 -0.791646550787402 -0.788997850813648 -0.650121872273806 -0.705928425819685 -0.696845583388451 -0.682447145993307 -0.754131617480315 -0.782076276167979 -0.795019165380577 -0.796157264514436
"38" "WALKING_UPSTAIRS" 28 -0.576630299640173 -0.606197261037861 -0.576630299640173 -0.606197261037861 -0.660949904982659 -0.659688393802601 -0.622316402677457 -0.693152305825723 -0.771461998398844 -0.789989686763006 -0.597334562684393 -0.673078611482948 -0.646268185660983 -0.680276399187861 -0.719642186186127 -0.729262352742775 -0.79094215982659 -0.804117697601156
"39" "WALKING_UPSTAIRS" 29 -0.553585593347965 -0.579067216088081 -0.553585593347965 -0.579067216088081 -0.664538060484884 -0.620472049862791 -0.602228993700349 -0.653732301592151 -0.802293906366279 -0.840156364186047 -0.589294014734302 -0.639314176054942 -0.609879937469099 -0.636434470547384 -0.722018434984302 -0.671454324368401 -0.840464164156977 -0.851462426569767
"40" "WALKING_UPSTAIRS" 30 -0.538131194183003 -0.588158111633681 -0.538131194183003 -0.588158111633681 -0.697050126998956 -0.658972148093473 -0.510032754098198 -0.573779428671018 -0.785870931331593 -0.810398514673629 -0.600372067046214 -0.646522810920757 -0.656339723754047 -0.664600262443812 -0.669600510563003 -0.589192650089817 -0.811292332428198 -0.822805618746736
